,ISU,KURS,DATE_START,DATE_END,PRIZNAK,MAIN_PLAN
67,299455190124019595,1,2017-09-02,2018-08-31 00:00:00,обучен,17879660698378496781
68,299455190124019595,2,2018-09-01,2019-08-31 00:00:00,обучен,17879660698378496781
69,299455190124019595,3,2019-09-01,2019-11-04 00:00:00,обучен,17879660698378496781
70,299455190124019595,3,2019-11-05,2020-02-04 00:00:00,отчисл,17879660698378496781
71,299455190124019595,2,2020-02-05,2020-08-31 00:00:00,обучен,1871881558734096666
72,299455190124019595,3,2020-09-01,2020-09-01 00:00:00,обучен,1871881558734096666
73,299455190124019595,3,2020-09-02,2021-04-01 00:00:00,обучен,1871881558734096666
74,7916718273436749681,1,2017-09-01,2018-08-31 00:00:00,обучен,14021825321935117523
75,7916718273436749681,2,2018-09-01,2018-12-26 00:00:00,обучен,14021825321935117523
76,7916718273436749681,2,2018-12-27,2019-08-31 00:00:00,обучен,14021825321935117523
77,7916718273436749681,3,2019-09-01,2019-12-29 00:00:00,обучен,14021825321935117523
78,7916718273436749681,3,2019-12-30,2020-08-31 00:00:00,обучен,14021825321935117523
79,7916718273436749681,4,2020-09-01,2020-12-30 00:00:00,обучен,14021825321935117523
80,7916718273436749681,4,2020-12-31,2021-06-02 00:00:00,обучен,14021825321935117523
81,7217042316822723335,1,2017-09-01,2018-08-31 00:00:00,обучен,456834837311593885
82,7217042316822723335,2,2018-09-01,2018-09-01 00:00:00,обучен,456834837311593885
83,7217042316822723335,2,2018-09-02,2019-04-29 00:00:00,обучен,456834837311593885
84,13279264928399361767,1,2017-09-01,2018-08-31 00:00:00,обучен,4276927406706791642
85,13279264928399361767,2,2018-09-01,2018-09-01 00:00:00,обучен,4276927406706791642
86,13279264928399361767,2,2018-09-02,2019-05-22 00:00:00,обучен,4276927406706791642
87,9022195967315801882,1,2017-09-01,2017-09-01 00:00:00,обучен,859090361626613984
88,9022195967315801882,1,2017-09-02,2017-09-19 00:00:00,обучен,859090361626613984
89,16132443772339459616,1,2017-09-01,2018-08-31 00:00:00,обучен,1667089195499266627
90,16132443772339459616,2,2018-09-01,2019-08-31 00:00:00,обучен,1667089195499266627
91,16132443772339459616,3,2019-09-01,2019-12-29 00:00:00,обучен,1667089195499266627
92,16132443772339459616,3,2019-12-30,2020-08-31 00:00:00,обучен,1667089195499266627
93,16132443772339459616,4,2020-09-01,2020-12-30 00:00:00,обучен,1667089195499266627
94,16132443772339459616,4,2020-12-31,2021-07-01 00:00:00,обучен,1667089195499266627
95,3610912436624619635,1,2017-09-01,2017-09-01 00:00:00,обучен,3822626843564218778
96,3610912436624619635,1,2017-09-02,2018-08-31 00:00:00,обучен,3822626843564218778
97,3610912436624619635,2,2018-09-01,2019-08-31 00:00:00,обучен,3822626843564218778
98,3610912436624619635,3,2019-09-01,2020-08-31 00:00:00,обучен,3822626843564218778
99,3610912436624619635,4,2020-09-01,2021-08-30 00:00:00,обучен,3822626843564218778
100,2202710647299129216,1,2017-09-01,2018-08-31 00:00:00,обучен,15833003524372215010
101,2202710647299129216,2,2018-09-01,2019-04-21 00:00:00,обучен,15833003524372215010
102,13437673162273992639,1,2017-09-01,2018-08-31 00:00:00,обучен,15833003524372215010
103,13437673162273992639,2,2018-09-01,2018-10-08 00:00:00,обучен,15833003524372215010
104,13437673162273992639,2,2018-10-09,2019-08-31 00:00:00,обучен,15833003524372215010
105,13437673162273992639,3,2019-09-01,2020-08-31 00:00:00,обучен,15833003524372215010
106,13437673162273992639,4,2020-09-01,2020-12-30 00:00:00,обучен,15833003524372215010
107,13437673162273992639,4,2020-12-31,2021-04-08 00:00:00,обучен,15833003524372215010
108,17921923375179468475,1,2017-09-01,2018-05-10 00:00:00,обучен,15833003524372215010
109,9029407955990081879,2,2017-09-01,2018-08-31 00:00:00,обучен,456834837311593885
110,9029407955990081879,3,2018-09-01,2018-09-01 00:00:00,обучен,456834837311593885
111,9029407955990081879,3,2018-09-02,2018-11-21 00:00:00,обучен,456834837311593885
112,9029407955990081879,3,2018-11-22,2019-08-31 00:00:00,обучен,456834837311593885
113,9029407955990081879,4,2019-09-01,2019-10-13 00:00:00,обучен,456834837311593885
114,9029407955990081879,4,2019-10-14,2020-08-31 00:00:00,академ,456834837311593885
115,9029407955990081879,4,2020-09-01,2020-10-15 00:00:00,обучен,456834837311593885
116,16171655938621181957,2,2017-09-01,2017-09-01 00:00:00,обучен,3675111137551044817
117,16171655938621181957,2,2017-09-02,2018-04-19 00:00:00,обучен,12546660344713025372
118,6219846680508731887,2,2017-09-01,2018-08-31 00:00:00,обучен,13274724482236486041
119,6219846680508731887,3,2018-09-01,2018-09-01 00:00:00,обучен,13274724482236486041
120,6219846680508731887,3,2018-09-02,2018-10-09 00:00:00,обучен,13274724482236486041
121,6219846680508731887,3,2018-10-10,2019-08-31 00:00:00,академ,13274724482236486041
122,10345898957161949446,1,2017-09-01,2018-08-31 00:00:00,обучен,9258844286624280093
123,10345898957161949446,2,2018-09-01,2019-08-31 00:00:00,обучен,9258844286624280093
124,10345898957161949446,3,2019-09-01,2019-12-29 00:00:00,обучен,9258844286624280093
125,10345898957161949446,3,2019-12-30,2020-08-31 00:00:00,обучен,9258844286624280093
126,10345898957161949446,4,2020-09-01,2020-12-30 00:00:00,обучен,9258844286624280093
127,10345898957161949446,4,2020-12-31,2021-08-30 00:00:00,обучен,9258844286624280093
128,11789452795048421786,1,2017-09-01,2018-02-04 00:00:00,обучен,14021825321935117523
129,4198959518700745672,1,2018-09-01,2019-06-05 00:00:00,обучен,7653827751193691771
130,4198959518700745672,1,2019-06-06,2020-06-05 00:00:00,академ,7653827751193691771
131,4198959518700745672,1,2020-06-06,2021-05-24 00:00:00,академ,7653827751193691771
132,9511227261748145036,1,2018-09-01,2019-01-31 00:00:00,обучен,9328733139165468860
133,5814073529550201294,1,2020-09-01,2021-02-28 00:00:00,обучен,1128657841831847282
134,10019144244980925172,1,2018-09-01,2019-08-31 00:00:00,обучен,1871881558734096666
135,10019144244980925172,2,2019-09-01,2020-08-31 00:00:00,обучен,1871881558734096666
136,10019144244980925172,3,2020-09-01,2021-08-31 00:00:00,обучен,1871881558734096666
137,11240781444206702551,2,2017-09-01,2018-08-31 00:00:00,обучен,8912727310231304513
138,11240781444206702551,3,2018-09-01,2018-12-20 00:00:00,обучен,8912727310231304513
139,11240781444206702551,3,2018-12-21,2019-08-31 00:00:00,обучен,8912727310231304513
140,11240781444206702551,4,2019-09-01,2019-12-29 00:00:00,обучен,8912727310231304513
141,11240781444206702551,4,2019-12-30,2020-07-09 00:00:00,обучен,8912727310231304513
142,2754904746445871563,1,2018-09-01,2019-08-31 00:00:00,обучен,7202649173769482940
143,2754904746445871563,2,2019-09-01,2020-08-31 00:00:00,обучен,7202649173769482940
144,2754904746445871563,3,2020-09-01,2021-08-31 00:00:00,обучен,7202649173769482940
145,6870381862355478069,1,2017-09-01,2017-09-01 00:00:00,обучен,2966781304257289054
146,6870381862355478069,1,2017-09-02,2018-08-31 00:00:00,обучен,2966781304257289054
147,6870381862355478069,2,2018-09-01,2018-09-01 00:00:00,обучен,2966781304257289054
148,6870381862355478069,2,2018-09-02,2019-05-26 00:00:00,обучен,2966781304257289054
149,9804710815946186533,2,2017-09-01,2018-08-31 00:00:00,обучен,10694750836097034347
150,9804710815946186533,3,2018-09-01,2019-04-29 00:00:00,обучен,10694750836097034347
151,11646870631214609037,2,2017-09-01,2018-08-31 00:00:00,обучен,2318124975100570268
152,11646870631214609037,3,2018-09-01,2018-09-01 00:00:00,обучен,2318124975100570268
153,11646870631214609037,3,2018-09-02,2019-08-31 00:00:00,обучен,14021825321935117523
154,11646870631214609037,4,2019-09-01,2020-08-30 00:00:00,обучен,14021825321935117523
155,14309492505924848884,2,2017-09-01,2018-08-31 00:00:00,обучен,5238507053872376832
156,14309492505924848884,3,2018-09-01,2019-03-03 00:00:00,обучен,5238507053872376832
157,6961310112870006098,2,2017-09-01,2018-08-31 00:00:00,обучен,456834837311593885
158,6961310112870006098,3,2018-09-02,2018-12-23 00:00:00,обучен,456834837311593885
159,3259723469941892318,2,2017-09-01,2018-08-31 00:00:00,обучен,5238507053872376832
160,3259723469941892318,3,2018-09-01,2018-11-26 00:00:00,обучен,5238507053872376832
161,3259723469941892318,3,2018-11-27,2019-08-31 00:00:00,обучен,5238507053872376832
162,3259723469941892318,4,2019-09-01,2020-08-30 00:00:00,обучен,5238507053872376832
163,15482195001482259050,1,2017-09-01,2018-04-19 00:00:00,обучен,12199257118377959988
164,11626875043485703631,1,2017-11-10,2018-08-31 00:00:00,обучен,8931112486619862929
165,11626875043485703631,2,2018-09-01,2019-02-03 00:00:00,обучен,8931112486619862929
166,11626875043485703631,2,2019-02-04,2019-08-31 00:00:00,обучен,6502627360976124984
167,11626875043485703631,3,2019-09-01,2020-04-23 00:00:00,обучен,6502627360976124984
168,11626875043485703631,3,2020-04-24,2021-08-31 00:00:00,отчисл,6502627360976124984
169,11626875043485703631,3,2021-09-01,2021-10-22 00:00:00,,7233366611242995406
170,17668820379502778901,2,2017-09-01,2018-07-01 00:00:00,обучен,18214280441669731119
171,17668820379502778901,2,2018-07-02,2018-08-31 00:00:00,отчисл,18214280441669731119
172,17668820379502778901,1,2018-09-01,2018-09-01 00:00:00,обучен,6572811899279529631
173,17668820379502778901,1,2018-09-02,2019-08-31 00:00:00,обучен,6572811899279529631
174,17668820379502778901,2,2019-09-01,2019-12-29 00:00:00,обучен,6572811899279529631
175,17668820379502778901,2,2019-12-30,2020-02-03 00:00:00,обучен,6572811899279529631
176,17668820379502778901,2,2020-02-04,2020-04-23 00:00:00,обучен,6572811899279529631
177,8686887686482012504,2,2017-09-01,2018-08-31 00:00:00,обучен,15523103493753161349
178,8686887686482012504,3,2018-09-01,2018-09-01 00:00:00,обучен,15523103493753161349
179,8686887686482012504,3,2018-09-02,2019-05-29 00:00:00,обучен,15523103493753161349
180,8686887686482012504,3,2019-05-30,2019-08-31 00:00:00,обучен,15523103493753161349
181,8686887686482012504,4,2019-09-01,2019-12-29 00:00:00,обучен,15523103493753161349
182,8686887686482012504,4,2019-12-30,2020-04-23 00:00:00,обучен,15523103493753161349
183,8686887686482012504,4,2020-04-24,2020-08-31 00:00:00,отчисл,15523103493753161349
184,8686887686482012504,4,2020-09-01,2021-05-24 00:00:00,обучен,4276927406706791642
185,4867858607952397299,1,2017-09-01,2018-08-31 00:00:00,обучен,1667089195499266627
186,4867858607952397299,2,2018-09-01,2018-10-17 00:00:00,обучен,1667089195499266627
187,4867858607952397299,2,2018-10-18,2019-08-31 00:00:00,обучен,1667089195499266627
188,4867858607952397299,3,2019-09-01,2019-12-29 00:00:00,обучен,1667089195499266627
189,4867858607952397299,3,2019-12-30,2020-08-31 00:00:00,обучен,1667089195499266627
190,4867858607952397299,4,2020-09-01,2021-07-01 00:00:00,обучен,1667089195499266627
191,872856476066366916,3,2017-09-01,2017-10-30 00:00:00,обучен,14111333646860223792
192,872856476066366916,3,2017-10-31,2018-08-31 00:00:00,отчисл,14111333646860223792
193,872856476066366916,1,2018-09-01,2018-09-01 00:00:00,обучен,6572811899279529631
194,872856476066366916,1,2018-09-02,2018-10-24 00:00:00,обучен,6572811899279529631
195,872856476066366916,1,2018-10-25,2019-10-27 00:00:00,академ,6572811899279529631
196,872856476066366916,1,2019-10-28,2020-08-31 00:00:00,обучен,10435077932447846356
197,872856476066366916,2,2020-09-01,2021-02-07 00:00:00,обучен,10435077932447846356
198,872856476066366916,2,2021-02-08,2021-02-25 00:00:00,обучен,10435077932447846356
199,14474819382042716420,3,2017-09-01,2017-10-30 00:00:00,обучен,14111333646860223792
200,14474819382042716420,3,2017-10-31,2018-02-04 00:00:00,отчисл,14111333646860223792
201,14474819382042716420,2,2018-02-05,2018-08-31 00:00:00,обучен,6502627360976124984
202,14474819382042716420,3,2018-09-01,2018-09-01 00:00:00,обучен,6502627360976124984
203,14474819382042716420,3,2018-09-02,2018-10-31 00:00:00,обучен,6502627360976124984
204,14474819382042716420,3,2018-11-01,2019-08-31 00:00:00,отчисл,6502627360976124984
205,14474819382042716420,1,2019-09-01,2020-08-31 00:00:00,обучен,12049371784134624894
206,14474819382042716420,2,2020-09-01,2020-12-30 00:00:00,обучен,12049371784134624894
207,14474819382042716420,2,2020-12-31,2021-04-07 00:00:00,обучен,12049371784134624894
208,14474819382042716420,2,2021-04-08,2022-04-07 00:00:00,академ,12049371784134624894
209,2511883703504010572,2,2017-09-01,2018-04-03 00:00:00,обучен,690883984074650052
210,4105600253089780723,2,2017-09-01,2017-10-03 00:00:00,обучен,5238507053872376832
211,5020013972034931092,1,2019-09-01,2020-08-31 00:00:00,обучен,17903959454840556963
212,5020013972034931092,2,2020-09-01,2020-11-05 00:00:00,обучен,17903959454840556963
213,5020013972034931092,2,2020-11-06,2021-08-31 00:00:00,академ,17903959454840556963
214,5780660784406087353,1,2017-09-01,2018-08-31 00:00:00,обучен,5238507053872376832
215,5780660784406087353,2,2018-09-01,2019-03-03 00:00:00,обучен,5238507053872376832
216,14987580189789926019,1,2018-09-01,2019-08-31 00:00:00,обучен,1871881558734096666
217,14987580189789926019,2,2019-09-01,2019-12-29 00:00:00,обучен,1871881558734096666
218,14987580189789926019,2,2019-12-30,2020-08-31 00:00:00,обучен,1871881558734096666
219,14987580189789926019,3,2020-09-01,2020-09-01 00:00:00,обучен,1871881558734096666
220,14987580189789926019,3,2020-09-02,2021-08-31 00:00:00,обучен,1871881558734096666
221,8678962302226006639,2,2017-09-01,2017-11-28 00:00:00,обучен,14125390921141592015
222,3882936577600782419,2,2017-09-01,2018-08-31 00:00:00,обучен,2350409269897364220
223,3882936577600782419,3,2018-09-01,2018-09-01 00:00:00,обучен,2350409269897364220
224,3882936577600782419,2,2018-09-02,2019-04-18 00:00:00,обучен,12199257118377959988
225,3882936577600782419,2,2019-04-19,2019-08-31 00:00:00,академ,12199257118377959988
226,3882936577600782419,2,2019-09-01,2020-06-04 00:00:00,обучен,7202649173769482940
227,3882936577600782419,2,2020-06-05,2021-08-31 00:00:00,отчисл,7202649173769482940
228,10075765262002751042,2,2018-07-10,2018-08-31 00:00:00,отчисл,18446744073709551615
229,10075765262002751042,1,2018-09-01,2019-08-31 00:00:00,обучен,7653827751193691771
230,10075765262002751042,2,2019-09-01,2019-11-04 00:00:00,обучен,7653827751193691771
231,10075765262002751042,2,2019-11-05,2020-08-31 00:00:00,отчисл,7653827751193691771
232,10075765262002751042,2,2020-09-01,2021-08-31 00:00:00,обучен,7503493711579539790
233,6358239658970494392,2,2017-09-01,2018-08-31 00:00:00,обучен,17239819310772696874
234,6358239658970494392,3,2018-09-01,2018-09-01 00:00:00,обучен,17239819310772696874
235,6358239658970494392,3,2018-09-02,2019-05-22 00:00:00,обучен,17239819310772696874
236,15000961033590122060,1,2017-09-01,2017-09-01 00:00:00,обучен,7432011864087186134
237,15000961033590122060,1,2017-09-02,2018-08-31 00:00:00,обучен,7432011864087186134
238,15000961033590122060,2,2018-09-01,2019-02-17 00:00:00,обучен,7432011864087186134
239,13171293400820863451,3,2017-09-01,2018-02-13 00:00:00,обучен,12090405332693229414
240,13171293400820863451,3,2018-02-14,2018-08-31 00:00:00,отчисл,12090405332693229414
241,13171293400820863451,1,2018-09-01,2019-08-31 00:00:00,обучен,7202649173769482940
242,13171293400820863451,2,2019-09-01,2019-12-29 00:00:00,обучен,7202649173769482940
243,13171293400820863451,2,2019-12-30,2020-08-31 00:00:00,обучен,7202649173769482940
244,13171293400820863451,3,2020-09-01,2021-08-31 00:00:00,обучен,7202649173769482940
245,9942742717991996765,2,2017-09-01,2018-12-09 00:00:00,обучен,5238507053872376832
246,11233948195764538260,2,2017-09-01,2018-08-31 00:00:00,обучен,5238507053872376832
247,11233948195764538260,3,2018-09-01,2018-11-13 00:00:00,обучен,5238507053872376832
248,894502649105671518,1,2017-09-01,2018-04-19 00:00:00,обучен,15833003524372215010
249,24200313584652851,1,2017-09-01,2018-04-14 00:00:00,обучен,247541128225053700
250,2373631810431433917,2,2017-09-01,2018-05-24 00:00:00,обучен,456834837311593885
251,1168397346823437163,1,2017-09-01,2018-08-31 00:00:00,обучен,13274724482236486041
252,1168397346823437163,2,2018-09-01,2018-09-01 00:00:00,обучен,13274724482236486041
253,1168397346823437163,2,2018-09-02,2019-08-31 00:00:00,обучен,13274724482236486041
254,1168397346823437163,3,2019-09-01,2019-10-06 00:00:00,обучен,13274724482236486041
255,13460949385922421297,2,2017-09-01,2018-04-19 00:00:00,обучен,4244733656765525176
256,6063523678596153375,1,2017-09-01,2018-08-31 00:00:00,обучен,5936399612770925421
257,6063523678596153375,2,2018-09-01,2019-08-31 00:00:00,обучен,5936399612770925421
258,6063523678596153375,3,2019-09-01,2019-12-19 00:00:00,обучен,5936399612770925421
259,6063523678596153375,3,2019-12-20,2020-02-04 00:00:00,отчисл,5936399612770925421
260,6063523678596153375,2,2020-02-05,2020-08-31 00:00:00,обучен,1278215119866583870
261,6063523678596153375,3,2020-09-01,2020-11-22 00:00:00,обучен,1278215119866583870
262,1515169183550908206,2,2017-09-01,2017-09-01 00:00:00,обучен,14021825321935117523
263,1515169183550908206,2,2017-09-02,2018-08-31 00:00:00,обучен,8912727310231304513
264,1515169183550908206,3,2018-09-01,2019-08-31 00:00:00,обучен,8912727310231304513
265,1515169183550908206,4,2019-09-01,2019-12-15 00:00:00,обучен,8912727310231304513
266,17779879049241008360,2,2017-09-01,2018-08-31 00:00:00,обучен,5904902358656600775
267,17779879049241008360,3,2018-09-01,2019-08-31 00:00:00,обучен,5904902358656600775
268,17779879049241008360,4,2019-09-01,2020-08-30 00:00:00,обучен,5904902358656600775
269,12879747803352560431,2,2017-09-01,2018-08-31 00:00:00,обучен,11458847994583617197
270,12879747803352560431,3,2018-09-01,2018-11-13 00:00:00,обучен,11458847994583617197
271,12879747803352560431,3,2018-11-14,2019-08-31 00:00:00,отчисл,11458847994583617197
272,12879747803352560431,3,2019-09-01,2020-05-27 00:00:00,обучен,11458847994583617197
273,8063837649556364116,2,2017-09-01,2018-08-31 00:00:00,обучен,13426219183408188098
274,8063837649556364116,3,2018-09-01,2019-08-31 00:00:00,обучен,13426219183408188098
275,8063837649556364116,4,2019-09-01,2019-11-21 00:00:00,обучен,13426219183408188098
276,14699340685409984245,1,2018-09-01,2019-08-31 00:00:00,обучен,3299769316445740287
277,14699340685409984245,2,2019-09-01,2019-10-31 00:00:00,обучен,3299769316445740287
278,4492811220663443984,2,2017-09-01,2018-08-31 00:00:00,обучен,11458847994583617197
279,4492811220663443984,3,2018-09-01,2019-04-02 00:00:00,обучен,11458847994583617197
280,4492811220663443984,3,2019-04-03,2019-08-31 00:00:00,обучен,11458847994583617197
281,4492811220663443984,4,2019-09-01,2019-12-29 00:00:00,обучен,11458847994583617197
282,4492811220663443984,4,2019-12-30,2020-08-30 00:00:00,обучен,11458847994583617197
283,9641960280754104695,2,2017-09-01,2017-10-26 00:00:00,обучен,13426219183408188098
284,8802273191245789422,1,2017-09-01,2018-08-31 00:00:00,обучен,1351844695490460707
285,8802273191245789422,2,2018-09-01,2018-11-15 00:00:00,обучен,1351844695490460707
286,8802273191245789422,2,2018-11-16,2019-08-31 00:00:00,отчисл,1351844695490460707
287,8802273191245789422,2,2019-09-01,2020-06-07 00:00:00,обучен,7653827751193691771
288,8802273191245789422,2,2020-06-08,2021-06-07 00:00:00,академ,7653827751193691771
289,16987260701629138421,2,2017-09-01,2017-11-30 00:00:00,обучен,11458847994583617197
290,4070461746785020090,2,2017-09-01,2018-08-31 00:00:00,обучен,11458847994583617197
291,4070461746785020090,3,2018-09-01,2019-08-31 00:00:00,обучен,11458847994583617197
292,4070461746785020090,4,2019-09-01,2019-11-14 00:00:00,обучен,11458847994583617197
293,16671609168069158061,4,2017-09-01,2018-05-03 00:00:00,обучен,12976184935596749994
294,4840610575658562214,4,2017-09-01,2017-12-03 00:00:00,обучен,12976184935596749994
295,7890065150679523948,4,2017-09-01,2018-05-03 00:00:00,обучен,12976184935596749994
296,5126860810415245036,4,2017-09-01,2018-05-03 00:00:00,обучен,12976184935596749994
297,3564737504067897907,4,2017-09-01,2018-05-03 00:00:00,обучен,12976184935596749994
298,5418862640348056864,4,2017-09-01,2017-12-12 00:00:00,обучен,12976184935596749994
299,13565116024626441389,4,2017-09-01,2018-05-03 00:00:00,обучен,12976184935596749994
300,1853334471806490068,2,2017-09-01,2018-04-26 00:00:00,обучен,690883984074650052
301,1853334471806490068,2,2018-04-27,2018-08-31 00:00:00,отчисл,690883984074650052
302,1853334471806490068,2,2018-09-01,2019-02-07 00:00:00,обучен,1351844695490460707
303,1048700924256198860,2,2017-09-01,2018-08-31 00:00:00,обучен,2825855431118813924
304,1048700924256198860,3,2018-09-01,2018-09-01 00:00:00,обучен,2825855431118813924
305,1048700924256198860,3,2018-09-02,2019-04-29 00:00:00,обучен,2825855431118813924
306,1048700924256198860,3,2019-04-30,2019-08-31 00:00:00,обучен,2825855431118813924
307,1048700924256198860,4,2019-09-01,2019-12-29 00:00:00,обучен,2825855431118813924
308,1048700924256198860,4,2019-12-30,2020-08-30 00:00:00,обучен,2825855431118813924
309,11802436569207283434,2,2017-09-01,2018-02-04 00:00:00,обучен,690883984074650052
310,11802436569207283434,1,2018-02-05,2018-08-31 00:00:00,обучен,5238507053872376832
311,11802436569207283434,2,2018-09-01,2019-04-14 00:00:00,обучен,5238507053872376832
312,2789974128004630536,2,2017-09-01,2018-08-31 00:00:00,обучен,7302235559458623679
313,2789974128004630536,3,2018-09-01,2019-08-31 00:00:00,обучен,7302235559458623679
314,2789974128004630536,4,2019-09-01,2020-08-30 00:00:00,обучен,7302235559458623679
315,15954076412698052901,2,2017-09-01,2018-08-31 00:00:00,обучен,11714278387273585275
316,15954076412698052901,3,2018-09-01,2019-05-27 00:00:00,обучен,11714278387273585275
